label,value,slug,optionType
Indian Institute of Information Technology Allahabad,indian institute of information technology allahabad,indian-institute-of-information-technology-allahabad,institute
International Institute of Information Technology Bangalore,international institute of information technology bangalore,international-institute-of-information-technology-bangalore,institute
Indraprastha Institute of Information Technology,indraprastha institute of information technology,indraprastha-institute-of-information-technology,institute
Jawaharlal Nehru Centre for Advanced Scientific Research,jawaharlal nehru centre for advanced scientific research,jawaharlal-nehru-centre-for-advanced-scientific-research,institute
Devi Ahilya Vishwavidyalaya,devi ahilya vishwavidyalaya,devi-ahilya-vishwavidyalaya,institute
KIIT University,kiit university,kiit-university,institute
Azim Premji University,azim premji university,azim-premji-university,institute
Indian Institute of Science Education and Research, Pune,indian institute of science education and research, pune,indian-institute-of-science-education-and-research-pune,institute
Chennai Mathematical Institute,chennai mathematical institute,chennai-mathematical-institute,institute
Bharathidasan University,bharathidasan university,bharathidasan-university,institute
Tezpur University,tezpur university,tezpur-university,institute
Chhatrapati Shahu Ji Maharaj University,chhatrapati shahu ji maharaj university,chhatrapati-shahu-ji-maharaj-university,institute
Shiv Nadar University,shiv nadar university,shiv-nadar-university,institute
Indian Institute of Technology Mandi,indian institute of technology mandi,indian-institute-of-technology-mandi,institute
Indian Institute of Technology, BHU,indian institute of technology, bhu,indian-institute-of-technology-bhu,institute
University of Burdwan,university of burdwan,university-of-burdwan,institute
Gauhati University,gauhati university,gauhati-university,institute
APJ Abdul Kalam Technological University,apj abdul kalam technological university,apj-abdul-kalam-technological-university,institute
Indian Institute of Technology Jodhpur,indian institute of technology jodhpur,indian-institute-of-technology-jodhpur,institute
Indian Institute of Technology Bhubaneswar,indian institute of technology bhubaneswar,indian-institute-of-technology-bhubaneswar,institute
Guru Nanak Dev University,guru nanak dev university,guru-nanak-dev-university,institute
Madurai Kamaraj University,madurai kamaraj university,madurai-kamaraj-university,institute
Rajiv Gandhi Proudyogiki Vishwavidyalaya,rajiv gandhi proudyogiki vishwavidyalaya,rajiv-gandhi-proudyogiki-vishwavidyalaya,institute
Chaudhary Charan Singh University,chaudhary charan singh university,chaudhary-charan-singh-university,institute
Gujarat University,gujarat university,gujarat-university,institute
Kerala Agricultural University,kerala agricultural university,kerala-agricultural-university,institute
Galgotias University,galgotias university,galgotias-university,institute
Jain University,jain university,jain-university,institute
CEPT University,cept university,cept-university,institute
Visva-Bharati University,visva-bharati university,visva-bharati-university,institute
Indian Institute of Space Science and Technology,indian institute of space science and technology,indian-institute-of-space-science-and-technology,institute
Symbiosis International University,symbiosis international university,symbiosis-international-university,institute
Govind Ballabh Pant University of Agriculture and Technology,govind ballabh pant university of agriculture and technology,govind-ballabh-pant-university-of-agriculture-and-technology,institute
Malaviya National Institute of Technology, Jaipur,malaviya national institute of technology, jaipur,malaviya-national-institute-of-technology-jaipur,institute
Sikkim University,sikkim university,sikkim-university,institute
K L University,k l university,k-l-university,institute
University of Kashmir,university of kashmir,university-of-kashmir,institute
Andhra University,andhra university,andhra-university,institute
Jawaharlal Nehru Technological University,jawaharlal nehru technological university,jawaharlal-nehru-technological-university,institute
Rajasthan Technical University Kota,rajasthan technical university kota,rajasthan-technical-university-kota,institute
Indian Institute of Technology Patna,indian institute of technology patna,indian-institute-of-technology-patna,institute
Indian School of Mines,indian school of mines,indian-school-of-mines,institute
Punjab Technical University,punjab technical university,punjab-technical-university,institute
Himachal Pradesh University,himachal pradesh university,himachal-pradesh-university,institute
Dr. B R Ambedkar National Institute of Technology Jalandhar,dr. b r ambedkar national institute of technology jalandhar,dr-b-r-ambedkar-national-institute-of-technology-jalandhar,institute
