label,value,slug ,optionType
"ACN College of Polytechnic, Aligarh","acn college of polytechnic, aligarh","acn-college-of-polytechnic,-aligarh",institute
"ACN School of Business, Aligarh","acn school of business, aligarh","acn-school-of-business,-aligarh",institute
"Acropolis Faculty of Management and Research, Indore","acropolis faculty of management and research, indore","acropolis-faculty-of-management-and-research,-indore",institute
"Acropolis Institute of Technology and Research, Bhopal","acropolis institute of technology and research, bhopal","acropolis-institute-of-technology-and-research,-bhopal",institute
"Acropolis Institute of Technology and Research, Indore","acropolis institute of technology and research, indore","acropolis-institute-of-technology-and-research,-indore",institute
"ACS College of Engineering, Bangalore","acs college of engineering, bangalore","acs-college-of-engineering,-bangalore",institute
"ACT College of Engineering and Technology, Kancheepuram","act college of engineering and technology, kancheepuram","act-college-of-engineering-and-technology,-kancheepuram",institute
"AD Patel Institute of Technology, ADIT Anand","ad patel institute of technology, adit anand","ad-patel-institute-of-technology,-adit-anand",institute
"Adaikalamatha College, Thanjavur","adaikalamatha college, thanjavur","adaikalamatha-college,-thanjavur",institute
"Adaikalamatha Institute of Management, Thanjavur","adaikalamatha institute of management, thanjavur","adaikalamatha-institute-of-management,-thanjavur",institute
"Adam's Engineering College, Khammam","adam's engineering college, khammam","adam's-engineering-college,-khammam",institute
"Adamas Institute of Technology, North 24 Parganas","adamas institute of technology, north 24 parganas","adamas-institute-of-technology,-north-24-parganas",institute
"Adamas University, Kolkata","adamas university, kolkata","adamas-university,-kolkata",institute
"Adani Institute of Infrastructure Engineering, Ahmedabad","adani institute of infrastructure engineering, ahmedabad","adani-institute-of-infrastructure-engineering,-ahmedabad",institute
"Adani Institute of Infrastructure Management, Ahmedabad","adani institute of infrastructure management, ahmedabad","adani-institute-of-infrastructure-management,-ahmedabad",institute
"Adarsh College of Engineering, Kakinada","adarsh college of engineering, kakinada","adarsh-college-of-engineering,-kakinada",institute
"Adarsh Institute of Management and Information Technology, Bangalore","adarsh institute of management and information technology, bangalore","adarsh-institute-of-management-and-information-technology,-bangalore",institute
"Adarsh Institute of Technology and Research Center, Sangli","adarsh institute of technology and research center, sangli","adarsh-institute-of-technology-and-research-center,-sangli",institute
"Adarsh Institute of Technology, Vita","adarsh institute of technology, vita","adarsh-institute-of-technology,-vita",institute
"Adarsh Polytechnic College, Patiala","adarsh polytechnic college, patiala","adarsh-polytechnic-college,-patiala",institute
"Adarsh Polytechnic, Dhule","adarsh polytechnic, dhule","adarsh-polytechnic,-dhule",institute
"Adarsh Polytechnic, Jind","adarsh polytechnic, jind","adarsh-polytechnic,-jind",institute
"Adarsh Post Graduate College of Computer Science, Mahabubnagar","adarsh post graduate college of computer science, mahabubnagar","adarsh-post-graduate-college-of-computer-science,-mahabubnagar",institute
"Adarsh Shikshan Prasarak Mandal's KT Patil College of Engineering and Technology, Osmanabad","adarsh shikshan prasarak mandal's kt patil college of engineering and technology, osmanabad","adarsh-shikshan-prasarak-mandal's-kt-patil-college-of-engineering-and-technology,-osmanabad",institute
"Adarsha College of Engineering, Angul","adarsha college of engineering, angul","adarsha-college-of-engineering,-angul",institute
"Adarsha School of Engineering and International Polytechnic, Angul","adarsha school of engineering and international polytechnic, angul","adarsha-school-of-engineering-and-international-polytechnic,-angul",institute
"Adarsha Science Jairamdas Bhagchand Arts and Birla Commerce Mahavidyalaya, Amravati","adarsha science jairamdas bhagchand arts and birla commerce mahavidyalaya, amravati","adarsha-science-jairamdas-bhagchand-arts-and-birla-commerce-mahavidyalaya,-amravati",institute
"Addanki Institute of Management and Sciences, Ongole","addanki institute of management and sciences, ongole","addanki-institute-of-management-and-sciences,-ongole",institute
