label,value,slug ,optionType
Computer Network Engineering,computer network engineering,computer-network-engineering,specialization
Computer Science and Engineering,computer science and engineering,computer-science-and-engineering,specialization
Conflict of Laws,conflict of laws,conflict-of-laws,specialization
Conservation Biology,conservation biology,conservation-biology,specialization
Constitutional Law,constitutional law,constitutional-law,specialization
Content Strategist,content strategist,content-strategist,specialization
Control Systems,control systems,control-systems,specialization
Corporate Finance,corporate finance,corporate-finance,specialization
Costume Design and Fashion,costume design and fashion,costume-design-and-fashion,specialization
Counseling Psychology,counseling psychology,counseling-psychology,specialization
Criminology and Criminal Justice,criminology and criminal justice,criminology-and-criminal-justice,specialization
Cyber Law and Information Security,cyber law and information security,cyber-law-and-information-security,specialization
Cyber Security,cyber security,cyber-security,specialization
Dairy Engineering,dairy engineering,dairy-engineering,specialization
Dairy Science,dairy science,dairy-science,specialization
Dance,dance,dance,specialization
Data Mining and Warehousing,data mining and warehousing,data-mining-and-warehousing,specialization
Data Science,data science,data-science,specialization
Dental,dental,dental,specialization
Dentistry,dentistry,dentistry,specialization
Dermatology Venereology and Leprosy,dermatology venereology and leprosy,dermatology-venereology-and-leprosy,specialization
Development Communications,development communications,development-communications,specialization
Digital Arts,digital arts,digital-arts,specialization
Digital Electronics and Communication Systems,digital electronics and communication systems,digital-electronics-and-communication-systems,specialization
Digital System and Signal Processing,digital system and signal processing,digital-system-and-signal-processing,specialization
Disaster Mitigation,disaster mitigation,disaster-mitigation,specialization
Distributed Computing,distributed computing,distributed-computing,specialization
Drama and Theatre,drama and theatre,drama-and-theatre,specialization
Drug Chemistry,drug chemistry,drug-chemistry,specialization
E-Commerce,e-commerce,e-commerce,specialization
E-Learning Technology,e-learning technology,e-learning-technology,specialization
Earth Science and Resource Management,earth science and resource management,earth-science-and-resource-management,specialization
Earthquake Engineering,earthquake engineering,earthquake-engineering,specialization
Eco Restoration,eco restoration,eco-restoration,specialization
Ecology and Environmental Science,ecology and environmental science,ecology-and-environmental-science,specialization
Econometrics,econometrics,econometrics,specialization
Economics,economics,economics,specialization
Ecotourism,ecotourism,ecotourism,specialization
Electrical and Electronics Engineering,electrical and electronics engineering,electrical-and-electronics-engineering,specialization
Electrical Communication Engineering,electrical communication engineering,electrical-communication-engineering,specialization
Electrical Devices and Power Systems,electrical devices and power systems,electrical-devices-and-power-systems,specialization
Electrical Engineering,electrical engineering,electrical-engineering,specialization
Electro Chemistry,electro chemistry,electro-chemistry,specialization
